chr,start,end,miRNA,coverage,strand,state,gene_id,gene,gene_type,region,strand_rel,biotype
chr1,165796159,165796222,mmu-miR-466i-5p,10.4815294851492,+,Tn,ENSMUSG00000005763,Cd247,protein_coding,intron,sense,protein_coding
chr1,165820063,165820141,mmu-miR-466i-5p,5.09875343172095,+,Tn,ENSMUSG00000005763,Cd247,protein_coding,intron,sense,protein_coding
chr1,165852598,165852662,mmu-miR-466i-5p,7.19931882446713,+,Tn,ENSMUSG00000005763,Cd247,protein_coding,intron,sense,protein_coding
chr1,171403008,171403116,mmu-miR-466i-5p,4.32302424843898,+,Tn,ENSMUSG00000048865,Arhgap30,protein_coding,intron,sense,protein_coding
chr1,171403117,171403206,mmu-miR-466i-5p,9.93741658810152,+,Tn,ENSMUSG00000048865,Arhgap30,protein_coding,intron,sense,protein_coding
chr1,171503046,171503141,mmu-miR-142a-3p,83.9864566304527,-,Tn,ENSMUSG00000091993,B930036N10Rik,antisense,ncRNA_exon,sense,lncRNA
chr1,173599047,173599123,mmu-miR-466f-3p,4.26882716049383,-,Tn,ENSMUSG00000073491,Ifi213,protein_coding,5' UTR,sense,protein_coding
chr1,177040426,177040539,mmu-miR-466i-5p,17.8974398512185,-,Tn,ENSMUSG00000019699,Akt3,protein_coding,intron,sense,protein_coding
chr1,177040682,177040769,mmu-miR-466i-5p,8.22773313017028,-,Tn,ENSMUSG00000019699,Akt3,protein_coding,intron,sense,protein_coding
chr1,179257220,179257377,mmu-miR-466i-5p,11.4176439232409,-,Tn,ENSMUSG00000055067,Smyd3,protein_coding,intron,sense,protein_coding
chr1,180349277,180349360,mmu-miR-466i-5p,8.72885732640635,+,Tn,ENSMUSG00000038855,Itpkb,protein_coding,intron,sense,protein_coding
chr1,180351324,180351451,mmu-miR-466i-5p,6.07064644369545,+,Tn,ENSMUSG00000038855,Itpkb,protein_coding,intron,sense,protein_coding
chr1,180371084,180371148,mmu-miR-466i-5p,7.7662978223382,+,Tn,ENSMUSG00000038855,Itpkb,protein_coding,intron,sense,protein_coding
chr1,180371237,180371314,mmu-miR-466i-5p,8.82491304276864,+,Tn,ENSMUSG00000038855,Itpkb,protein_coding,intron,sense,protein_coding
chr1,180399396,180399506,mmu-miR-466i-5p,14.73838523076,+,Tn,ENSMUSG00000038855,Itpkb,protein_coding,intron,sense,protein_coding
chr1,181173729,181173797,mmu-miR-466i-5p,5.15839122501832,-,Tn,ENSMUSG00000038733,Wdr26,protein_coding,3' UTR,sense,protein_coding
chr1,181174163,181174237,mmu-miR-466i-5p,6.19720766524598,-,Tn,ENSMUSG00000038733,Wdr26,protein_coding,3' UTR,sense,protein_coding
chr1,181177700,181177794,mmu-miR-92a-3p,3.71763689526847,-,Tn,ENSMUSG00000038733,Wdr26,protein_coding,3' UTR,sense,protein_coding
chr1,193253255,193253336,mmu-miR-466i-5p,13.9389065730443,-,Tn,ENSMUSG00000016194,Hsd11b1,protein_coding,intron,sense,protein_coding
chr1,193253350,193253449,mmu-miR-466i-5p,7.57040744724018,-,Tn,ENSMUSG00000016194,Hsd11b1,protein_coding,intron,sense,protein_coding
chr1,193256265,193256385,mmu-miR-466i-5p,13.0279085852986,-,Tn,ENSMUSG00000016194,Hsd11b1,protein_coding,intron,sense,protein_coding
chr10,6927255,6927327,mmu-miR-466i-5p,7.25706427084661,-,Tn,ENSMUSG00000064065,Ipcef1,protein_coding,intron,sense,protein_coding
chr10,6978358,6978423,mmu-miR-466i-5p,5.86004784688995,-,Tn,ENSMUSG00000064065,Ipcef1,protein_coding,intron,sense,protein_coding
chr10,6979086,6979170,mmu-miR-466i-5p,4.79257486240791,-,Tn,ENSMUSG00000064065,Ipcef1,protein_coding,intron,sense,protein_coding
chr10,7868375,7868439,mmu-miR-466i-5p,3.93202764976959,+,Tn,ENSMUSG00000039981,Zc3h12d,protein_coding,3' UTR,sense,protein_coding
chr10,12605578,12605733,mmu-miR-466i-5p,10.5539933407489,-,Tn,ENSMUSG00000019820,Utrn,protein_coding,intron,sense,protein_coding
chr10,12723246,12723315,mmu-miR-466i-5p,5.99559125394941,-,Tn,ENSMUSG00000019820,Utrn,protein_coding,intron,sense,protein_coding
chr10,21323249,21323313,mmu-miR-466i-5p,3.69979147888556,+,Tn,ENSMUSG00000019977,Hbs1l,protein_coding,intron,sense,protein_coding
chr10,22270084,22270142,mmu-miR-466i-5p,23.7299533217349,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22270143,22270165,mmu-miR-466i-5p,11.3797718457763,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22270209,22270284,mmu-miR-466i-5p,26.653354694665,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22270305,22270405,mmu-miR-466i-5p,47.8294270522289,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22271783,22271834,mmu-miR-466i-5p,4.78597426567176,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22296196,22296257,mmu-miR-466i-5p,5.82634569852494,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22296276,22296340,mmu-miR-466i-5p,5.42624869764979,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22298793,22298861,mmu-miR-466i-5p,5.72755101034735,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22298878,22298951,mmu-miR-466i-5p,10.0397320607836,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22302072,22302139,mmu-miR-466i-5p,10.4818234425191,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22302158,22302215,mmu-miR-466i-5p,7.0932187518831,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,22302246,22302326,mmu-miR-466i-5p,9.41737041929408,-,Tn,ENSMUSG00000097705,Gm26740,antisense,intron,sense,lncRNA
chr10,23786472,23786496,mmu-miR-26a-5p,76.766862033667,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786472,23786496,mmu-miR-26b-5p,68.2197843511945,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786499,23786509,mmu-miR-26a-5p,52.1979220074077,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786499,23786509,mmu-miR-26b-5p,46.7736157154574,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786510,23786530,mmu-miR-26a-5p,98.2962532446228,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786510,23786530,mmu-miR-26b-5p,88.9559271504298,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786531,23786540,mmu-miR-26a-5p,48.8794332247088,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,23786531,23786540,mmu-miR-26b-5p,44.6832744187342,-,Tn,ENSMUSG00000061983,Rps12,protein_coding,ncRNA_exon,sense,protein_coding
chr10,28686922,28686990,mmu-miR-466i-5p,6.27262654143102,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28688382,28688490,mmu-miR-466i-5p,9.348084055037,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28688702,28688806,mmu-miR-466i-5p,14.1352353593561,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28701165,28701233,mmu-miR-466i-5p,5.28946608946609,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28784552,28784626,mmu-miR-466i-5p,8.16176546259134,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28796415,28796503,mmu-miR-466i-5p,8.79060132368547,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28838834,28838894,mmu-miR-466i-5p,3.74058383506659,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,28838908,28838993,mmu-miR-466i-5p,6.04623115705319,+,Tn,ENSMUSG00000049109,Themis,protein_coding,intron,sense,protein_coding
chr10,39390160,39390236,mmu-miR-466i-5p,4.9063775971093,+,Tn,ENSMUSG00000019843,Fyn,protein_coding,intron,sense,protein_coding
chr10,39461417,39461491,mmu-miR-466i-5p,6.76528845625034,+,Tn,ENSMUSG00000019843,Fyn,protein_coding,intron,sense,protein_coding
chr10,42866342,42866437,mmu-miR-466i-5p,19.5889410630257,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42866448,42866614,mmu-miR-466i-5p,41.4502066803502,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42866631,42866708,mmu-miR-466i-5p,25.7036825909848,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42871453,42871501,mmu-miR-466i-5p,10.0515725835391,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42871521,42871610,mmu-miR-466i-5p,32.7305927325858,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42871620,42871697,mmu-miR-466i-5p,25.2264280616552,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42882165,42882217,mmu-miR-466i-5p,12.9799661349354,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42882241,42882444,mmu-miR-466i-5p,56.2485250431845,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42882445,42882513,mmu-miR-466i-5p,17.5503655969858,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42882541,42882669,mmu-miR-466i-5p,45.4316255824726,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42882670,42882769,mmu-miR-466i-5p,20.6583595160153,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42885885,42885970,mmu-miR-466i-5p,14.8880866895264,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42891620,42891708,mmu-miR-466i-5p,11.795615390869,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42891735,42891825,mmu-miR-466i-5p,8.64082190553996,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,42922943,42923014,mmu-miR-466i-5p,4.42828345205066,+,Tn,ENSMUSG00000044770,Scml4,protein_coding,intron,sense,protein_coding
chr10,50658924,50659028,mmu-let-7d-5p,9.50740559376582,+,Tn,ENSMUSG00000038774,Ascc3,protein_coding,CDS,sense,protein_coding
chr10,60365642,60365737,mmu-miR-466i-5p,9.33359600735487,+,Tn,ENSMUSG00000020101,Vsir,protein_coding,intron,sense,protein_coding
chr10,60365903,60366010,mmu-miR-466i-5p,3.86050563040076,+,Tn,ENSMUSG00000020101,Vsir,protein_coding,intron,sense,protein_coding
chr10,60366050,60366131,mmu-miR-466i-5p,11.8720020779498,+,Tn,ENSMUSG00000020101,Vsir,protein_coding,intron,sense,protein_coding
chr10,80002411,80002520,mmu-miR-466i-5p,15.2797600787381,+,Tn,ENSMUSG00000035722,Abca7,protein_coding,CDS,sense,protein_coding
chr10,82741669,82741763,mmu-miR-466i-5p,10.3732885373108,+,Tn,ENSMUSG00000020246,Hcfc2,protein_coding,3' UTR,sense,protein_coding
chr10,85455271,85455354,mmu-miR-466i-5p,4.48837209302326,+,Tn,ENSMUSG00000020042,Btbd11,protein_coding,intron,sense,protein_coding
chr10,93195467,93195613,mmu-miR-466i-5p,7.82845398860883,+,Tn,ENSMUSG00000020015,Cdk17,protein_coding,intron,sense,protein_coding
chr10,93195630,93195691,mmu-miR-466i-5p,6.54440061786716,+,Tn,ENSMUSG00000020015,Cdk17,protein_coding,intron,sense,protein_coding
chr10,96077659,96077756,mmu-miR-142a-3p,5.5,-,Tn,ENSMUSG00000117008,Gm49817,unitary_pseudogene,intron,sense,pseudogene
chr10,96619708,96619765,mmu-miR-150-5p,8.40331691297209,+,Tn,ENSMUSG00000036478,Btg1,protein_coding,3' UTR,sense,protein_coding
chr10,108254319,108254402,mmu-miR-466i-5p,4.92207792207792,+,Tn,ENSMUSG00000019907,Ppp1r12a,protein_coding,intron,sense,protein_coding
chr10,117632935,117633059,mmu-miR-466i-5p,8.1169563835797,+,Tn,ENSMUSG00000020183,Cpm,protein_coding,intron,sense,protein_coding
chr10,117635852,117635956,mmu-miR-466i-5p,4.05635976742792,+,Tn,ENSMUSG00000020183,Cpm,protein_coding,intron,sense,protein_coding
chr10,122742640,122742779,mmu-miR-466i-5p,4,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122785928,122785981,mmu-miR-466i-5p,7.08461231267027,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122786004,122786099,mmu-miR-466i-5p,17.6031354585523,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122786100,122786248,mmu-miR-466i-5p,31.7149632930506,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122866910,122866966,mmu-miR-466i-5p,3.40140845070423,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122880458,122880541,mmu-miR-466i-5p,6.34464247237357,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122885233,122885298,mmu-miR-466i-5p,6.39736626660019,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122888900,122889011,mmu-miR-466i-5p,4.24960657457597,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122892111,122892183,mmu-miR-466i-5p,5.85643821457738,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122914610,122914676,mmu-miR-466f-3p,5.61288798920378,+,Tn,ENSMUSG00000034613,Ppm1h,protein_coding,intron,sense,protein_coding
chr10,122985697,122985722,mmu-miR-142a-5p,4.5,-,Tn,ENSMUSG00000065406,Mirlet7i,miRNA,ncRNA_exon,sense,miRNA
chr10,122985697,122985722,mmu-miR-16-5p,4.5,-,Tn,ENSMUSG00000065406,Mirlet7i,miRNA,ncRNA_exon,sense,miRNA
chr10,127075960,127076022,mmu-miR-466f-3p,6.41986687147977,+,Tn,ENSMUSG00000025422,Agap2,protein_coding,intron,sense,protein_coding
chr10,128726921,128726987,mmu-miR-466i-5p,4.03148448902186,-,Tn,ENSMUSG00000025357,Dgka,protein_coding,intron,sense,protein_coding
chr10,128727010,128727085,mmu-miR-466i-5p,6.09408487141451,-,Tn,ENSMUSG00000025357,Dgka,protein_coding,intron,sense,protein_coding
chr11,4557918,4557987,mmu-miR-466i-5p,3.39893790849673,-,Tn,ENSMUSG00000034354,Mtmr3,protein_coding,intron,sense,protein_coding
chr11,4560244,4560354,mmu-miR-466i-5p,17.1041347183428,-,Tn,ENSMUSG00000034354,Mtmr3,protein_coding,intron,sense,protein_coding
chr11,5440578,5440649,mmu-miR-466i-5p,3.85400793650794,-,Tn,ENSMUSG00000041961,Znrf3,protein_coding,intron,sense,protein_coding
chr11,5441760,5441844,mmu-miR-466i-5p,5.91025641025641,-,Tn,ENSMUSG00000041961,Znrf3,protein_coding,intron,sense,protein_coding
chr11,6572576,6572657,mmu-miR-466i-5p,6.40017857142857,+,Tn,ENSMUSG00000000378,Ccm2,protein_coding,intron,sense,protein_coding
chr11,6575597,6575668,mmu-miR-466i-5p,5.04693986256672,+,Tn,ENSMUSG00000000378,Ccm2,protein_coding,intron,sense,protein_coding
chr11,6575679,6575755,mmu-miR-466i-5p,8.15039467513127,+,Tn,ENSMUSG00000000378,Ccm2,protein_coding,intron,sense,protein_coding
chr11,11726660,11726747,mmu-miR-466i-5p,14.0711287477954,+,Tn,ENSMUSG00000018654,Ikzf1,protein_coding,intron,sense,protein_coding
chr11,11726759,11726834,mmu-miR-466i-5p,9.74870636345943,+,Tn,ENSMUSG00000018654,Ikzf1,protein_coding,intron,sense,protein_coding
chr11,11770128,11770221,mmu-miR-92a-3p,9.57656034993396,+,Tn,ENSMUSG00000018654,Ikzf1,protein_coding,3' UTR,sense,protein_coding
chr11,11771624,11771667,mmu-miR-27a-3p,23.147450849783,+,Tn,ENSMUSG00000018654,Ikzf1,protein_coding,3' UTR,sense,protein_coding
chr11,21092094,21092211,mmu-miR-142a-3p,10.5221563680745,+,Tn,ENSMUSG00000020134,Peli1,protein_coding,ncRNA_exon,sense,protein_coding
chr11,30099415,30099536,mmu-let-7a-5p,6.63197029172248,-,Tn,ENSMUSG00000020315,Sptbn1,protein_coding,3' UTR,sense,protein_coding
chr11,30099415,30099536,mmu-let-7c-5p,8.78697648260405,-,Tn,ENSMUSG00000020315,Sptbn1,protein_coding,3' UTR,sense,protein_coding
chr11,30100040,30100114,mmu-miR-142a-3p,4.73274726592781,-,Tn,ENSMUSG00000020315,Sptbn1,protein_coding,3' UTR,sense,protein_coding
chr11,32030023,32030099,mmu-miR-466i-5p,5.55740249091706,+,Tn,ENSMUSG00000020297,Nsg2,protein_coding,intron,sense,protein_coding
chr11,32034154,32034356,mmu-miR-466i-5p,9.99899460965417,+,Tn,ENSMUSG00000020297,Nsg2,protein_coding,intron,sense,protein_coding
chr11,32555724,32555793,mmu-miR-466i-5p,9.37867604075969,+,Tn,ENSMUSG00000020272,Stk10,protein_coding,intron,sense,protein_coding
chr11,34263814,34263892,mmu-miR-466i-5p,5.64374659273738,-,Tn,ENSMUSG00000020143,Dock2,protein_coding,intron,sense,protein_coding
chr11,34274577,34274640,mmu-miR-466i-5p,6.44087609020193,-,Tn,ENSMUSG00000020143,Dock2,protein_coding,intron,sense,protein_coding
chr11,34343042,34343121,mmu-miR-466i-5p,3.95270360410486,-,Tn,ENSMUSG00000020143,Dock2,protein_coding,intron,sense,protein_coding
