gene,cum_weighted_context_score
Rora,-0.29
Rgs8,-0.29
1810041L15Rik,-0.29
Traf3,-0.29
Kcnip2,-0.29
Scamp5,-0.29
Prkab2,-0.29
Med12l,-0.28
Setdb1,-0.28
Dot1l,-0.28
Klf12,-0.28
Slc7a1,-0.28
Suv420h1,-0.28
Snx4,-0.28
Csrnp2,-0.28
Sppl2b,-0.28
Camk2g,-0.28
Klhl9,-0.28
Lasp1,-0.28
Ccnd2,-0.28
Rnf13,-0.28
Ppm1e,-0.28
Spast,-0.28
Pcyt1b,-0.28
Slc43a2,-0.28
Ltbr,-0.28
Nkiras2,-0.28
Schip1,-0.28
Col22a1,-0.27
Dcx,-0.27
Htr1b,-0.27
Fam134c,-0.27
Atxn1,-0.27
Ctdspl2,-0.27
Pik3r3,-0.27
Rere,-0.27
Zfp191,-0.27
Ina,-0.27
Shroom2,-0.27
Dennd1b,-0.27
Zc4h2,-0.27
Zfp91,-0.27
Hinfp,-0.27
Dpysl2,-0.27
Slc16a7,-0.27
Cyth3,-0.27
Gfod1,-0.27
Vash2,-0.27
Slc5a8,-0.27
Sh3rf3,-0.27
Wbp1l,-0.27
Fbrs,-0.27
Stx16,-0.27
Nsd1,-0.27
Mapre2,-0.27
Hspg2,-0.27
Palm,-0.27
Pcgf3,-0.27
Wac,-0.27
Sp1,-0.27
AU019823,-0.27
Arhgap36,-0.27
Pten,-0.26
Hiatl1,-0.26
Gpr85,-0.26
Tmem65,-0.26
Enpp2,-0.26
Def8,-0.26
Kctd21,-0.26
Car3,-0.26
Phldb3,-0.26
Dnmt3a,-0.26
Arvcf,-0.26
Kpna4,-0.26
Lrp6,-0.26
Arhgap28,-0.26
Lemd2,-0.26
Hs3st3b1,-0.26
Slc6a2,-0.26
Slc25a44,-0.26
Mstn,-0.26
Tmem86a,-0.26
Plcxd2,-0.26
Cnot6,-0.26
Sox12,-0.26
Ammecr1,-0.26
Hmcn1,-0.26
Scn3b,-0.26
Mblac2,-0.26
Ubfd1,-0.26
D630045J12Rik,-0.26
Fermt2,-0.25
Prkg1,-0.25
Atxn1l,-0.25
Col5a1,-0.25
En1,-0.25
Otud4,-0.25
Slco5a1,-0.25
Igf1,-0.25
Kbtbd8,-0.25
Chmp6,-0.25
Kifc2,-0.25
Runx1t1,-0.25
Clock,-0.25
Mtmr4,-0.25
Nrsn1,-0.25
Bace1,-0.25
Itga6,-0.25
Rab12,-0.25
Grin2b,-0.25
Dcun1d4,-0.25
Rnf165,-0.25
Calm3,-0.25
Dpp4,-0.25
Ccdc117,-0.25
F11r,-0.25
March1,-0.25
Tmem178b,-0.25
Frmd4a,-0.25
Mat2a,-0.25
Pgap1,-0.25
Rarb,-0.25
Spsb4,-0.25
Prr14l,-0.25
Foxj2,-0.25
Ddi2,-0.24
Agpat4,-0.24
Gan,-0.24
Zbtb10,-0.24
Cox10,-0.24
Pdgfb,-0.24
Cdkl2,-0.24
Rcor1,-0.24
Htr7,-0.24
Arrdc4,-0.24
Tmed9,-0.24
Foxn2,-0.24
Elavl4,-0.24
Pex5,-0.24
Mest,-0.24
Emp2,-0.24
Adcyap1r1,-0.24
Rsc1a1,-0.24
Cecr2,-0.24
Slk,-0.24
Hdgf,-0.24
Ap4e1,-0.24
Eif3j1,-0.24
Lpl,-0.24
4833424O15Rik,-0.24
Pcsk5,-0.24
Akap17b,-0.24
Rnf169,-0.24
Fzd5,-0.24
Sidt1,-0.24
Adamts15,-0.24
Mafb,-0.24
Syt14,-0.24
Fam126b,-0.23
Fam83f,-0.23
Ppp1r15b,-0.23
Atp2b1,-0.23
Gas7,-0.23
Rnf150,-0.23
Nav1,-0.23
Gng12,-0.23
Cspg4,-0.23
Stx1a,-0.23
Epb4.1l4b,-0.23
Nfix,-0.23
Gtf3c4,-0.23
Slc35b2,-0.23
Jarid2,-0.23
Ror1,-0.23
Mief1,-0.23
Gmeb1,-0.23
Coro6,-0.23
Ago3,-0.23
Strn3,-0.23
Setd8,-0.23
Epha1,-0.23
Psme4,-0.23
Tubb2b,-0.23
Tmod3,-0.23
Strn,-0.23
Mmp2,-0.23
Akt3,-0.23
Mob1a,-0.23
Gsk3b,-0.23
Adamts6,-0.23
Frem1,-0.23
Etv4,-0.23
Nlrx1,-0.23
Gm10300,-0.23
Cenpb,-0.22
Gpr165,-0.22
Palm2,-0.22
Slc39a9,-0.22
Ppip5k2,-0.22
Tbx21,-0.22
Abi1,-0.22
Map4k4,-0.22
Mapkbp1,-0.22
Naa60,-0.22
Rnd1,-0.22
Xkr7,-0.22
Lmln,-0.22
Slc24a4,-0.22
Atp2b4,-0.22
Zmiz1,-0.22
Col25a1,-0.22
Map2k6,-0.22
Zfp174,-0.22
Dlgap2,-0.22
Plekha1,-0.22
Rbmx,-0.22
Wdfy1,-0.22
Gpam,-0.22
Prelp,-0.21
Bbc3,-0.21
Clcn5,-0.21
Mtx3,-0.21
Camk1d,-0.21
E2f7,-0.21
Stx17,-0.21
Pitpnm2,-0.21
Sh3pxd2a,-0.21
Hpcal4,-0.21
Nfic,-0.21
Osbp,-0.21
Zkscan4,-0.21
Adamts7,-0.21
Gk5,-0.21
Cbx3,-0.21
Parg,-0.21
Slc16a1,-0.21
Smurf2,-0.21
Elmo2,-0.21
Med26,-0.21
Dtx4,-0.21
Zbtb40,-0.21
Gab1,-0.21
Antxr2,-0.21
Vash1,-0.21
Serinc5,-0.2
Ankrd52,-0.2
Gm608,-0.2
Pcdh17,-0.2
Ephb3,-0.2
Svil,-0.2
Ralgps1,-0.2
Ythdf1,-0.2
Kdm5c,-0.2
Ankrd13c,-0.2
Wdr26,-0.2
Unk,-0.2
Ttyh2,-0.2
Aqp4,-0.2
Rnf214,-0.2
Fstl1,-0.2
Ndst1,-0.2
Syt7,-0.2
Daam1,-0.2
Ccnj,-0.2
Ctnnbip1,-0.2
Amfr,-0.2
Kdm6b,-0.2
Tnfaip1,-0.19
Nek10,-0.19
Cnr1,-0.19
Usp37,-0.19
Impdh1,-0.19
Ube2h,-0.19
Pgp,-0.19
Lsm14b,-0.19
Tiam1,-0.19
Phactr2,-0.19
Fscn1,-0.19
Klhdc3,-0.19
Slc25a22,-0.19
Tfap2c,-0.19
Slc31a1,-0.19
Bsdc1,-0.19
Cops7b,-0.19
Celf2,-0.19
Ttc14,-0.19
Rnf152,-0.19
Itga11,-0.19
Zfp366,-0.19
Cacng4,-0.19
Ss18l1,-0.19
Vps25,-0.19
St8sia6,-0.19
Snx22,-0.19
Nfib,-0.19
Btla,-0.18
Ncor2,-0.18
Cemip,-0.18
Vps37c,-0.18
FMN1,-0.18
Ak3,-0.18
Kirrel,-0.18
Fer,-0.18
Dcaf10,-0.18
Loxl4,-0.18
Pou4f3,-0.18
Adam12,-0.18
Fign,-0.18
Fmn1,-0.18
Akap13,-0.18
Zbtb41,-0.18
Hip1,-0.18
Insrr,-0.18
Phlpp2,-0.18
Arnt,-0.18
Cx3cl1,-0.18
Slc30a10,-0.18
Zfp384,-0.18
Zfp385c,-0.18
Col5a2,-0.18
Uhrf1bp1,-0.18
Adc,-0.17
Rel,-0.17
Rnpepl1,-0.17
Mapk8,-0.17
Htr6,-0.17
Mospd2,-0.17
Nras,-0.17
Iffo2,-0.17
Kcnc2,-0.17
Rnf138,-0.17
Aplnr,-0.17
Ythdf3,-0.17
Ncoa4,-0.17
Camkk2,-0.17
Prdm11,-0.17
Usp31,-0.17
Dip2b,-0.17
Camk4,-0.17
Tgfb2,-0.17
Il1rapl1,-0.17
Ago1,-0.17
Megf6,-0.17
Kpna1,-0.17
Fras1,-0.17
Mga,-0.17
Kdm5a,-0.17
Atp1b1,-0.17
Atp6v1a,-0.17
Capn7,-0.17
Ddah2,-0.17
Creb5,-0.17
2210018M11Rik,-0.17
Syt2,-0.17
Uhrf1bp1l,-0.17
Tanc1,-0.17
Zfp641,-0.17
Dlgap1,-0.16
Prrc2c,-0.16
Tmem229b,-0.16
N4bp2,-0.16
Plod1,-0.16
Ehd2,-0.16
Kdm2a,-0.16
Mlxip,-0.16
Mast4,-0.16
D430041D05Rik,-0.16
C77370,-0.16
Ccdc88a,-0.16
Orai3,-0.16
Hnrnpul1,-0.16
Ppp1r13b,-0.16
Tbc1d13,-0.16
Tmem136,-0.16
Kcnc3,-0.16
Hcfc2,-0.16
Zfp362,-0.16
Csgalnact2,-0.16
Gmfb,-0.16
Ubtd2,-0.16
Cbx5,-0.16
Prkra,-0.16
Nat8l,-0.16
Ank3,-0.16
Rab40c,-0.15
Cep85l,-0.15
Rfx7,-0.15
Rmnd5a,-0.15
Ctnnd1,-0.15
Brd4,-0.15
Hook3,-0.15
CTNND1,-0.15
Ndrg4,-0.15
Atrn,-0.15
Fam124a,-0.15
Thoc2,-0.15
Diap2,-0.15
Ago2,-0.15
Luzp1,-0.15
Jmy,-0.15
C030046E11Rik,-0.15
Zfp652,-0.15
Ski,-0.15
Pik3cb,-0.15
1110002E22Rik,-0.15
Onecut2,-0.15
Diablo,-0.15
Brwd1,-0.15
Syn3,-0.14
Mxi1,-0.14
Reps2,-0.14
Sidt2,-0.14
Appbp2,-0.14
Pdp2,-0.14
Ubiad1,-0.14
Bicd1,-0.14
Zfyve26,-0.14
Gid4,-0.14
Abcc3,-0.14
Prickle2,-0.14
Grm4,-0.14
Rest,-0.14
Gcc2,-0.14
Bcorl1,-0.14
Ercc6,-0.14
Pdik1l,-0.14
Pde3a,-0.14
Rps6ka3,-0.14
Fbxo42,-0.14
Bcl7a,-0.13
Cpeb3,-0.13
Nol4l,-0.13
Fam136a,-0.13
Tspan9,-0.13
Faxc,-0.13
Hapln1,-0.13
Rab6b,-0.13
Srgap2,-0.13
Klhl25,-0.13
Shprh,-0.13
Zic5,-0.13
Enah,-0.13
Adam23,-0.13
Slitrk4,-0.13
Lgi2,-0.13
Prpf40a,-0.13
Tmem127,-0.13
Zbtb20,-0.13
Bcl11b,-0.13
Nfatc3,-0.13
Tmtc3,-0.12
Tmem255a,-0.12
Peak1,-0.12
Cdc42bpa,-0.12
Pura,-0.12
Larp4,-0.12
Glis3,-0.12
Npffr1,-0.12
Trim71,-0.12
Dcaf7,-0.12
Ostc,-0.12
Scml2,-0.12
Plxna1,-0.11
Dennd5b,-0.11
Ttc9,-0.11
Klhl42,-0.11
Zhx3,-0.11
Zer1,-0.11
Gabpb2,-0.11
Morc2a,-0.11
Sbf2,-0.11
Ubtf,-0.11
Lamc1,-0.11
Ddx6,-0.11
Homer1,-0.11
B230219D22Rik,-0.1
Irs1,-0.1
Npas4,-0.1
Rab14,-0.1
Lsm11,-0.1
Xirp2,-0.1
Dab2ip,-0.1
Nufip2,-0.1
Nktr,-0.1
Acvr2a,-0.1
Drp2,-0.1
Onecut1,-0.1
Rbfox2,-0.1
Nebl,-0.1
Mier3,-0.1
Hlf,-0.1
A330050F15Rik,-0.1
Raph1,-0.09
Kdm4a,-0.09
Trim56,-0.09
Kcnj12,-0.09
Oxct1,-0.09
Gopc,-0.09
Rfx5,-0.09
Rhobtb1,-0.09
Kif18b,-0.09
Elmsan1,-0.09
Sh3glb1,-0.09
Rras2,-0.09
Dennd2c,-0.09
L3mbtl4,-0.09
Cdk6,-0.09
Spty2d1,-0.09
Dcp2,-0.08
Bahd1,-0.08
H2bfm,-0.08
Med28,-0.08
Dcaf12,-0.08
Brd3,-0.08
Setd5,-0.08
Wasf3,-0.08
Aff4,-0.08
Rybp,-0.08
Per1,-0.08
Wscd2,-0.08
Sgms2,-0.08
Tenm3,-0.08
Sike1,-0.07
Emc3,-0.07
Armc8,-0.07
Tmem151b,-0.07
Btbd7,-0.07
Tmem259,-0.07
Sntb2,-0.07
Tmem132d,-0.07
Fbxo7,-0.07
Ccser2,-0.07
Slc7a11,-0.07
Zmym2,-0.07
AI314180,-0.07
Dgkk,-0.07
Vps36,-0.07
Pitpnm3,-0.06
Klf13,-0.06
Cuedc1,-0.06
Ino80d,-0.06
Asic1,-0.06
Ppp2ca,-0.06
Fam78b,-0.06
B630005N14Rik,-0.06
Slc1a2,-0.06
Pcdha10,-0.06
Zfp704,-0.06
Erc1,-0.06
Chtf8,-0.06
Snx11,-0.06
Nfatc4,-0.06
Src,-0.06
Rnf19a,-0.06
Acer3,-0.06
Mxd1,-0.06
Rasal2,-0.06
Ppard,-0.06
Nova1,-0.06
Pggt1b,-0.06
Cnnm2,-0.05
Spry4,-0.05
Dedd,-0.05
AI118078,-0.05
5430427O19Rik,-0.05
Me3,-0.05
Kcna2,-0.05
Foxp1,-0.05
Ptprk,-0.05
Camta1,-0.05
Hepacam,-0.05
Dennd4a,-0.05
Lmtk2,-0.05
Ppargc1a,-0.05
Sfpq,-0.05
Prr5l,-0.05
Hspa4l,-0.05
Cse1l,-0.05
D3Bwg0562e,-0.05
Tnrc6b,-0.05
Ubn2,-0.05
Ntrk3,-0.05
Fam131b,-0.05
Ptprd,-0.05
Nasp,-0.05
Plekhf2,-0.04
Ube2e3,-0.04
Etv6,-0.04
Smpd3,-0.04
Phf21a,-0.04
Zfp609,-0.04
Ubxn7,-0.04
Trove2,-0.04
Ide,-0.04
Clmn,-0.04
D16Ertd472e,-0.04
Kcnh7,-0.04
4931428F04Rik,-0.04
Tmem167,-0.04
Tmem33,-0.04
Sdk1,-0.04
Socs7,-0.03
Vps26b,-0.03
Xylt1,-0.03
Dicer1,-0.03
Apc,-0.03
Fgd4,-0.03
Paip2,-0.03
Gng2,-0.03
Fbxw2,-0.03
Fbxl20,-0.03
Hip1r,-0.03
Ube2k,-0.03
Ppp1r12b,-0.03
Helz,-0.03
Mlkl,-0.03
Ipo9,-0.03
Zfhx3,-0.03
Myo18a,-0.03
Dlg2,-0.03
Adam22,-0.03
Dclre1b,-0.02
Erp44,-0.02
Dip2c,-0.02
Lpgat1,-0.02
Bcl9l,-0.02
Sap30l,-0.02
Rnf217,-0.02
Mapk10,-0.02
Metap2,-0.02
Pou2f2,-0.02
Mmp16,-0.02
Wdfy3,-0.02
U2surp,-0.02
Vps13a,-0.02
Lsamp,-0.02
Kcnh5,-0.02
Ext1,-0.02
Col1a2,-0.01
Fyn,-0.01
Rcc2,-0.01
Ccdc80,-0.01
Pole3,-0.01
Ncoa3,-0.01
Pitpna,-0.01
Arpp19,-0.01
Ank1,-0.01
Trim24,-0.01
Fkbp4,-0.01
Arfgef2,-0.01
Tbck,-0.01
Dctn1,-0.01
Zfp292,-0.01
Fam149a,-0.01
Kif3c,-0.01
Arl4a,-0.01
Thoc1,-0.01
Birc6,-0.01
Ing2,-0.01
Luc7l3,0.0
March9,0.0
Ctc1,0.0
Lyl1,0.0
Actn2,0.0
Ldlrad4,0.0
Vps13d,0.0
Emb,0.0
Oxnad1,0.0
Mtif3,0.0
Fga,0.0
Exoc7,0.0
Tyw5,0.0
Dcun1d5,0.0
Clpx,0.0
Zfyve9,0.0
Kcnk10,0.0
Ccdc108,0.0
Adamts5,0.0
Nrg3,0.0
Acadl,0.0
Gpr161,0.0
Slitrk3,0.0
Denr,0.0
