chr,start,end,strand,gene,gene_id,feature,miRNA,log2FC,neglog10_p,neglog10_padj,contrast,grpA,grpB,padj,sig,background
chr12,80945505,80945548,+,Srsf5,ENSMUSG00000021134.17,5' UTR,mmu-miR-466i-5p,3.03,2.92,2.07,Teff_vs_Tn,Teff,Tn,0.00851138038202377,TRUE,FALSE
chr4,32356880,32357001,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.02,2.72,1.88,Teff_vs_Tn,Teff,Tn,0.0131825673855641,TRUE,FALSE
chr3,54729416,54729507,-,Exosc8,ENSMUSG00000027752.15,Intron,mmu-miR-30c-5p,3,2.41,1.57,Teff_vs_Tn,Teff,Tn,0.0269153480392692,TRUE,FALSE
chrM,3503,3594,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,2.97,2.73,1.88,Teff_vs_Tn,Teff,Tn,0.0131825673855641,TRUE,TRUE
chrM,3844,3874,+,mt-Tm,ENSMUSG00000064344.1,Other,mmu-miR-21a-5p,2.96,3.53,2.68,Teff_vs_Tn,Teff,Tn,0.00208929613085404,TRUE,TRUE
chr4,32357001,32357157,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-2.89,2.69,1.84,Teff_vs_Tn,Teff,Tn,0.0144543977074593,TRUE,FALSE
chr10,42866447,42866614,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-2.89,2.36,1.51,Teff_vs_Tn,Teff,Tn,0.0309029543251359,TRUE,FALSE
chrM,1093,1184,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,2.84,2.47,1.63,Teff_vs_Tn,Teff,Tn,0.0234422881531992,TRUE,TRUE
chr16,43168177,43168261,+,Zbtb20,ENSMUSG00000022708.16,Intron,mmu-miR-690,2.83,2.71,1.86,Teff_vs_Tn,Teff,Tn,0.0138038426460288,TRUE,FALSE
chr12,80945548,80945576,+,Srsf5,ENSMUSG00000021134.17,5' UTR,mmu-miR-466i-5p,2.77,2.51,1.67,Teff_vs_Tn,Teff,Tn,0.0213796208950223,TRUE,FALSE
chr7,127981963,127982038,+,Fus,ENSMUSG00000030795.18,3' UTR,mmu-miR-466i-5p,2.67,2.29,1.44,Teff_vs_Tn,Teff,Tn,0.0363078054770101,TRUE,FALSE
chrM,604,721,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-let-7c-5p,-2.62,2.8,1.95,Teff_vs_Tn,Teff,Tn,0.0112201845430196,TRUE,TRUE
chr10,42882540,42882669,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-2.56,2.21,1.37,Teff_vs_Tn,Teff,Tn,0.0426579518801593,TRUE,FALSE
chr10,42882240,42882444,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-2.54,2.15,1.31,Teff_vs_Tn,Teff,Tn,0.0489778819368446,TRUE,FALSE
chr4,32356703,32356880,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-2.5,2.44,1.6,Teff_vs_Tn,Teff,Tn,0.0251188643150958,TRUE,FALSE
chr17,29495368,29495515,+,Pim1,ENSMUSG00000024014.8,3' UTR,mmu-miR-33-5p,2.44,2.19,1.34,Teff_vs_Tn,Teff,Tn,0.0457088189614875,TRUE,FALSE
chr1,161036680,161036739,+,Gas5|Gm23212,ENSMUSG00000084667.1||ENSMUSG00000053332.13,Other,mmu-let-7g-5p,2.36,2.78,1.94,Teff_vs_Tn,Teff,Tn,0.0114815362149688,TRUE,FALSE
chrM,1755,2007,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,2.26,3.08,2.24,Teff_vs_Tn,Teff,Tn,0.00575439937337157,TRUE,TRUE
chr17,39846860,39846909,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-let-7i-3p,2,2.15,1.31,Teff_vs_Tn,Teff,Tn,0.0489778819368446,TRUE,FALSE
chrM,1756,1829,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,3.72,5.09,4.24,Tex_vs_Teff,Tex,Teff,5.75439937337157e-05,TRUE,TRUE
chrM,1829,2010,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,3.5,5.71,4.87,Tex_vs_Teff,Tex,Teff,1.34896288259165e-05,TRUE,TRUE
chrM,1653,1745,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,3.39,3.25,2.41,Tex_vs_Teff,Tex,Teff,0.00389045144994281,TRUE,TRUE
chr7,16368517,16368627,-,Sae1,ENSMUSG00000052833.9,CDS,mmu-miR-155-5p,2.11,2.72,1.87,Tex_vs_Teff,Tex,Teff,0.0134896288259165,TRUE,FALSE
chrM,3514,3691,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,1.8,2.35,1.51,Tex_vs_Teff,Tex,Teff,0.0309029543251359,TRUE,TRUE
chr1,161036680,161036739,+,Gm23212|Gas5,ENSMUSG00000084667.1||ENSMUSG00000053332.13,Other,mmu-let-7g-5p,-1.68,2.42,1.57,Tex_vs_Teff,Tex,Teff,0.0269153480392692,TRUE,FALSE
chr16,52073438,52073613,+,Cblb,ENSMUSG00000022637.11,Intron,mmu-miR-466i-5p,2.72,2.21,1.37,Tex_vs_Tmem,Tex,Tmem,0.0426579518801593,TRUE,FALSE
chr7,98501562,98501822,+,Lrrc32,ENSMUSG00000090958.2,3' UTR,mmu-miR-142a-3p,-2.69,2.45,1.6,Tex_vs_Tmem,Tex,Tmem,0.0251188643150958,TRUE,FALSE
chrM,1769,1822,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,2.49,3.03,2.19,Tex_vs_Tmem,Tex,Tmem,0.00645654229034656,TRUE,TRUE
chr13,45794467,45794565,-,Atxn1,ENSMUSG00000046876.16,Intron,mmu-miR-466i-5p,2.34,2.33,1.49,Tex_vs_Tmem,Tex,Tmem,0.0323593656929628,TRUE,FALSE
chr17,39847657,39847782,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-155-5p,2.27,2.39,1.54,Tex_vs_Tmem,Tex,Tmem,0.0288403150312661,TRUE,FALSE
chr10,22270302,22270387,-,Gm26740,ENSMUSG00000097705.1,Other,mmu-miR-466i-5p,2.15,2.35,1.51,Tex_vs_Tmem,Tex,Tmem,0.0309029543251359,TRUE,TRUE
chr17,39847275,39847358,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-365-3p,2.01,2.27,1.43,Tex_vs_Tmem,Tex,Tmem,0.0371535229097173,TRUE,FALSE
chrM,881,969,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,-1.74,2.73,1.89,Tex_vs_Tmem,Tex,Tmem,0.0128824955169313,TRUE,TRUE
chrM,882,929,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-147-3p,5.73,6.97,6.12,Tex_vs_Tn,Tex,Tn,7.58577575029184e-07,TRUE,TRUE
chrM,1755,2010,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,5.51,7.15,6.3,Tex_vs_Tn,Tex,Tn,5.01187233627273e-07,TRUE,TRUE
chr1,161038077,161038160,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-34a-5p,5.08,6.82,5.97,Tex_vs_Tn,Tex,Tn,1.07151930523761e-06,TRUE,FALSE
chr1,161038077,161038160,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-182-5p,4.84,4.64,3.8,Tex_vs_Tn,Tex,Tn,0.000158489319246111,TRUE,FALSE
chr1,161038077,161038160,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-449c-5p,4.36,3.14,2.29,Tex_vs_Tn,Tex,Tn,0.00512861383991365,TRUE,FALSE
chr2,5379254,5379372,-,Camk1d,ENSMUSG00000039145.16,Intron,mmu-miR-34a-5p,4.13,3.42,2.58,Tex_vs_Tn,Tex,Tn,0.00263026799189538,TRUE,FALSE
chr2,167301139,167301307,-,B4galt5,ENSMUSG00000017929.13,3' UTR,mmu-miR-210-3p,4.08,3.62,2.77,Tex_vs_Tn,Tex,Tn,0.00169824365246174,TRUE,FALSE
chrM,882,929,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,4.07,3.58,2.73,Tex_vs_Tn,Tex,Tn,0.00186208713666287,TRUE,TRUE
chr13,23684575,23684652,+,H2bc4,ENSMUSG00000018102.5,CDS,mmu-miR-34a-5p,4.05,3.48,2.63,Tex_vs_Tn,Tex,Tn,0.00234422881531992,TRUE,FALSE
chrM,1696,1746,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,3.94,3.21,2.37,Tex_vs_Tn,Tex,Tn,0.00426579518801593,TRUE,TRUE
chr6,11900434,11900583,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-147-3p,3.62,2.88,2.03,Tex_vs_Tn,Tex,Tn,0.00933254300796992,TRUE,FALSE
chr17,39847274,39847320,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-18a-3p,3.61,2.85,2.01,Tex_vs_Tn,Tex,Tn,0.00977237220955811,TRUE,FALSE
chr4,32357001,32357157,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.61,2.74,1.9,Tex_vs_Tn,Tex,Tn,0.0125892541179417,TRUE,FALSE
chrM,3503,3691,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,3.55,4.24,3.39,Tex_vs_Tn,Tex,Tn,0.000407380277804113,TRUE,TRUE
chr4,32253411,32253502,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-142a-3p,-3.53,2.56,1.72,Tex_vs_Tn,Tex,Tn,0.0190546071796325,TRUE,FALSE
chr13,45775676,45775747,-,Atxn1,ENSMUSG00000046876.16,Intron,mmu-miR-466i-5p,3.48,2.63,1.78,Tex_vs_Tn,Tex,Tn,0.0165958690743756,TRUE,FALSE
chr19,5797525,5797699,-,Malat1,ENSMUSG00000092341.3,Other,mmu-miR-16-5p,-3.43,3.24,2.39,Tex_vs_Tn,Tex,Tn,0.00407380277804113,TRUE,TRUE
chrM,1109,1157,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,3.4,3.05,2.2,Tex_vs_Tn,Tex,Tn,0.00630957344480193,TRUE,TRUE
chr4,32356880,32357001,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.37,2.46,1.61,Tex_vs_Tn,Tex,Tn,0.0245470891568503,TRUE,FALSE
chrM,3503,3691,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-21a-5p,3.34,2.73,1.89,Tex_vs_Tn,Tex,Tn,0.0128824955169313,TRUE,TRUE
chrM,586,724,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,3.32,2.64,1.79,Tex_vs_Tn,Tex,Tn,0.0162181009735893,TRUE,TRUE
chr12,78350922,78351021,+,Gphn,ENSMUSG00000047454.12,Intron,mmu-miR-423-3p,3.31,2.65,1.81,Tex_vs_Tn,Tex,Tn,0.0154881661891248,TRUE,FALSE
chrM,2946,3034,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,3.3,3.86,3.02,Tex_vs_Tn,Tex,Tn,0.000954992586021436,TRUE,TRUE
chrM,2946,3034,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-19b-3p,3.3,2.68,1.84,Tex_vs_Tn,Tex,Tn,0.0144543977074593,TRUE,TRUE
chr7,16368517,16368627,-,Sae1,ENSMUSG00000052833.9,CDS,mmu-miR-155-5p,3.23,3.06,2.21,Tex_vs_Tn,Tex,Tn,0.00616595001861482,TRUE,FALSE
chr9,13444327,13444420,+,Maml2,ENSMUSG00000031925.17,Intron,mmu-miR-466i-5p,-3.22,2.32,1.47,Tex_vs_Tn,Tex,Tn,0.0338844156139203,TRUE,FALSE
chr17,39847320,39847358,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-18a-3p,3.22,2.21,1.37,Tex_vs_Tn,Tex,Tn,0.0426579518801593,TRUE,FALSE
chr15,81040823,81040931,-,Mrtfa,ENSMUSG00000042292.18,Intron,mmu-miR-466i-5p,-3.21,2.38,1.53,Tex_vs_Tn,Tex,Tn,0.0295120922666639,TRUE,FALSE
chr10,42882240,42882444,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-3.09,2.2,1.35,Tex_vs_Tn,Tex,Tn,0.0446683592150963,TRUE,FALSE
chr17,39847919,39848064,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-150-5p,-3.06,2.91,2.07,Tex_vs_Tn,Tex,Tn,0.00851138038202377,TRUE,FALSE
chr3,54729417,54729508,-,Exosc8,ENSMUSG00000027752.15,Intron,mmu-miR-30c-5p,3.02,2.36,1.52,Tex_vs_Tn,Tex,Tn,0.0301995172040202,TRUE,FALSE
chr4,32356703,32356804,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-2.96,2.27,1.43,Tex_vs_Tn,Tex,Tn,0.0371535229097173,TRUE,FALSE
chr17,39847786,39847913,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-150-5p,-2.96,2.19,1.34,Tex_vs_Tn,Tex,Tn,0.0457088189614875,TRUE,FALSE
chr10,42882540,42882669,+,Scml4,ENSMUSG00000044770.14,Intron,mmu-miR-466i-5p,-2.92,2.18,1.34,Tex_vs_Tn,Tex,Tn,0.0457088189614875,TRUE,FALSE
chr1,161036680,161036739,+,Gas5|Gm23212,ENSMUSG00000053332.13||ENSMUSG00000084667.1,Other,mmu-let-7i-5p,2.89,2.52,1.68,Tex_vs_Tn,Tex,Tn,0.0208929613085404,TRUE,FALSE
chr17,39846750,39846804,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-let-7i-3p,2.84,2.18,1.34,Tex_vs_Tn,Tex,Tn,0.0457088189614875,TRUE,FALSE
chrM,586,724,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-155-5p,2.79,2.43,1.59,Tex_vs_Tn,Tex,Tn,0.0257039578276886,TRUE,TRUE
chr17,39847477,39847566,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-21a-5p,2.79,2.17,1.32,Tex_vs_Tn,Tex,Tn,0.0478630092322638,TRUE,FALSE
chr17,39847919,39848064,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-21a-5p,2.72,2.2,1.35,Tex_vs_Tn,Tex,Tn,0.0446683592150963,TRUE,FALSE
chr12,25094281,25094429,-,Id2,ENSMUSG00000020644.9,3' UTR,mmu-miR-142a-5p,2.72,2.19,1.35,Tex_vs_Tn,Tex,Tn,0.0446683592150963,TRUE,FALSE
chr15,9506866,9506986,-,Il7r,ENSMUSG00000003882.5,3' UTR,mmu-miR-15b-5p,-2.65,2.36,1.52,Tex_vs_Tn,Tex,Tn,0.0301995172040202,TRUE,FALSE
chr9,78175302,78175434,-,Rn7sk,ENSMUSG00000065037.1,Other,mmu-miR-5114,3.03,2.84,1.99,Tmem_vs_Teff,Tmem,Teff,0.0102329299228075,TRUE,TRUE
chr6,82725204,82725297,-,Hk2,ENSMUSG00000000628.10,3' UTR,mmu-miR-466i-5p,2.67,2.3,1.45,Tmem_vs_Teff,Tmem,Teff,0.0354813389233576,TRUE,FALSE
chr6,11900421,11900592,-,Ndufa4,ENSMUSG00000029632.7,CDS,mmu-miR-210-3p,2.6,2.78,1.93,Tmem_vs_Teff,Tmem,Teff,0.0117489755493953,TRUE,FALSE
chrM,872,969,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,2.4,5.49,4.64,Tmem_vs_Teff,Tmem,Teff,2.29086765276778e-05,TRUE,TRUE
chrM,646,725,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,2.36,3.16,2.32,Tmem_vs_Teff,Tmem,Teff,0.00478630092322639,TRUE,TRUE
chr2,167301132,167301247,-,B4galt5,ENSMUSG00000017929.13,3' UTR,mmu-miR-210-3p,2.28,3.11,2.26,Tmem_vs_Teff,Tmem,Teff,0.00549540873857625,TRUE,FALSE
chrM,2948,3037,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,2.01,3.85,3,Tmem_vs_Teff,Tmem,Teff,0.001,TRUE,TRUE
chr17,17521866,17521964,-,Lnpep,ENSMUSG00000023845.7,3' UTR,mmu-miR-466i-5p,-1.83,3.43,2.59,Tmem_vs_Teff,Tmem,Teff,0.00257039578276886,TRUE,FALSE
chr12,80945505,80945576,+,Srsf5,ENSMUSG00000021134.17,5' UTR,mmu-miR-466i-5p,-1.74,2.67,1.83,Tmem_vs_Teff,Tmem,Teff,0.0147910838816821,TRUE,FALSE
chrM,1892,2023,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,1.69,4.53,3.69,Tmem_vs_Teff,Tmem,Teff,0.000204173794466953,TRUE,TRUE
chrM,3514,3688,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,1.63,3.6,2.75,Tmem_vs_Teff,Tmem,Teff,0.00177827941003892,TRUE,TRUE
chr1,161038077,161038159,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-34a-5p,-1.2,2.37,1.52,Tmem_vs_Teff,Tmem,Teff,0.0301995172040202,TRUE,FALSE
chrM,898,969,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-147-3p,6.33,10.42,9.58,Tmem_vs_Tn,Tmem,Tn,2.63026799189538e-10,TRUE,TRUE
chrM,898,969,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,6.19,10.19,9.34,Tmem_vs_Tn,Tmem,Tn,4.57088189614875e-10,TRUE,TRUE
chr1,161038077,161038159,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-182-5p,5.5,8.72,7.88,Tmem_vs_Tn,Tmem,Tn,1.31825673855641e-08,TRUE,FALSE
chrM,603,725,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,4.92,6.02,5.18,Tmem_vs_Tn,Tmem,Tn,6.60693448007597e-06,TRUE,TRUE
chr2,167301132,167301247,-,B4galt5,ENSMUSG00000017929.13,3' UTR,mmu-miR-210-3p,4.89,5.52,4.68,Tmem_vs_Tn,Tmem,Tn,2.08929613085404e-05,TRUE,FALSE
chrM,881,898,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-147-3p,4.71,5.07,4.23,Tmem_vs_Tn,Tmem,Tn,5.88843655355588e-05,TRUE,TRUE
chr1,161038077,161038159,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-34a-5p,4.67,8.5,7.65,Tmem_vs_Tn,Tmem,Tn,2.23872113856834e-08,TRUE,FALSE
chr6,11900427,11900503,-,Ndufa4,ENSMUSG00000029632.7,3' UTR,mmu-miR-147-3p,4.64,5.02,4.18,Tmem_vs_Tn,Tmem,Tn,6.60693448007597e-05,TRUE,FALSE
chrM,881,898,+,mt-Rnr1,ENSMUSG00000064337.1,Other,mmu-miR-210-3p,4.57,4.88,4.03,Tmem_vs_Tn,Tmem,Tn,9.3325430079699e-05,TRUE,TRUE
chr9,78175302,78175434,-,Rn7sk,ENSMUSG00000065037.1,Other,mmu-miR-5114,4.32,4.23,3.39,Tmem_vs_Tn,Tmem,Tn,0.000407380277804113,TRUE,TRUE
chr4,32356703,32356804,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-4.24,4.35,3.51,Tmem_vs_Tn,Tmem,Tn,0.000309029543251359,TRUE,FALSE
chr7,98501562,98501822,+,Lrrc32,ENSMUSG00000090958.2,3' UTR,mmu-miR-142a-3p,4.22,4.16,3.31,Tmem_vs_Tn,Tmem,Tn,0.000489778819368446,TRUE,FALSE
chrM,2948,3037,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,4.17,6.62,5.78,Tmem_vs_Tn,Tmem,Tn,1.65958690743756e-06,TRUE,TRUE
chr2,13580053,13580151,+,Vim,ENSMUSG00000026728.9,CDS,mmu-miR-103-3p,4.16,3.82,2.98,Tmem_vs_Tn,Tmem,Tn,0.0010471285480509,TRUE,FALSE
chrM,1755,1974,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,4.14,8.84,7.99,Tmem_vs_Tn,Tmem,Tn,1.02329299228075e-08,TRUE,TRUE
chrM,2948,3037,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-19b-3p,4.06,4.27,3.42,Tmem_vs_Tn,Tmem,Tn,0.000380189396320561,TRUE,TRUE
chrM,1974,2023,+,mt-Rnr2,ENSMUSG00000064339.1,Other,mmu-miR-155-5p,4.02,8.25,7.41,Tmem_vs_Tn,Tmem,Tn,3.89045144994281e-08,TRUE,TRUE
chr4,134127417,134127537,-,Sh3bgrl3,ENSMUSG00000028843.8,3' UTR,mmu-miR-744-5p,3.99,4.47,3.62,Tmem_vs_Tn,Tmem,Tn,0.000239883291901949,TRUE,FALSE
chr1,161038077,161038159,+,Snord47|Gas5,ENSMUSG00000064968.1||ENSMUSG00000053332.13,Other,mmu-miR-449c-5p,3.97,3.68,2.83,Tmem_vs_Tn,Tmem,Tn,0.00147910838816821,TRUE,FALSE
chr6,82725204,82725297,-,Hk2,ENSMUSG00000000628.10,3' UTR,mmu-miR-466i-5p,3.95,3.74,2.89,Tmem_vs_Tn,Tmem,Tn,0.00128824955169313,TRUE,FALSE
chrM,3564,3688,+,mt-Nd1,ENSMUSG00000064341.1,CDS,mmu-miR-155-5p,3.82,6.08,5.23,Tmem_vs_Tn,Tmem,Tn,5.88843655355588e-06,TRUE,TRUE
chr13,23684588,23684652,+,H2bc4,ENSMUSG00000018102.5,CDS,mmu-miR-34a-5p,3.77,3.41,2.57,Tmem_vs_Tn,Tmem,Tn,0.00269153480392692,TRUE,FALSE
chr4,32356880,32357001,+,Bach2,ENSMUSG00000040270.16,Intron,mmu-miR-466i-5p,-3.73,3.62,2.78,Tmem_vs_Tn,Tmem,Tn,0.00165958690743756,TRUE,FALSE
chr9,65902944,65903040,+,Pclaf,ENSMUSG00000040204.6,3' UTR,mmu-miR-466i-5p,3.71,3.64,2.79,Tmem_vs_Tn,Tmem,Tn,0.00162181009735893,TRUE,FALSE
chr17,39847919,39848064,+,CT010467.1,ENSMUSG00000106106.3,Other,mmu-miR-150-5p,-3.69,4.58,3.73,Tmem_vs_Tn,Tmem,Tn,0.000186208713666287,TRUE,FALSE
chrM,3913,4009,+,mt-Nd2,ENSMUSG00000064345.1,CDS,mmu-miR-21a-5p,3.66,5,4.15,Tmem_vs_Tn,Tmem,Tn,7.07945784384137e-05,TRUE,TRUE
chr6,11900427,11900503,-,Ndufa4,ENSMUSG00000029632.7,3' UTR,mmu-miR-210-3p,3.66,3.23,2.39,Tmem_vs_Tn,Tmem,Tn,0.00407380277804113,TRUE,FALSE
chr13,22043216,22043294,+,H2bc11,ENSMUSG00000069300.3,CDS,mmu-miR-24-3p,3.62,3.15,2.31,Tmem_vs_Tn,Tmem,Tn,0.00489778819368446,TRUE,FALSE
chr19,5797525,5797699,-,Malat1,ENSMUSG00000092341.3,Other,mmu-miR-16-5p,-3.6,4.23,3.39,Tmem_vs_Tn,Tmem,Tn,0.000407380277804113,TRUE,TRUE
